"FullName","Name","Parent","Depth","LastWrite","ChildDirs","ChildFiles"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\Vanilla-Presets\low","low","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\Vanilla-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\Vanilla-Presets\medium","medium","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\Vanilla-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\Vanilla-Presets\ultra","ultra","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\Vanilla-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim\BethINI-Presets","BethINI-Presets","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim","6","30/04/2022 18:39:28","5","0"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim\BethINI-Presets\high","high","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim\BethINI-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim\BethINI-Presets\low","low","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim\BethINI-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim\BethINI-Presets\medium","medium","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim\BethINI-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim\BethINI-Presets\poor","poor","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim\BethINI-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim\BethINI-Presets\ultra","ultra","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim\BethINI-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim\Default","Default","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim","6","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim\Vanilla-Presets","Vanilla-Presets","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim","6","30/04/2022 18:39:28","4","0"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim\Vanilla-Presets\high","high","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim\Vanilla-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim\Vanilla-Presets\low","low","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim\Vanilla-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim\Vanilla-Presets\medium","medium","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim\Vanilla-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim\Vanilla-Presets\ultra","ultra","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim\Vanilla-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source","Source","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone","4","30/04/2022 18:40:10","2","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Lib","Lib","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source","5","30/04/2022 18:40:10","0","24"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets","Presets","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source","5","30/04/2022 18:40:10","6","0"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 3","Fallout 3","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets","6","30/04/2022 18:40:10","3","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 3\BethINI-Presets","BethINI-Presets","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 3","7","30/04/2022 18:40:10","5","0"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 3\BethINI-Presets\high","high","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 3\BethINI-Presets","8","30/04/2022 18:40:10","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 3\BethINI-Presets\low","low","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 3\BethINI-Presets","8","30/04/2022 18:40:10","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 3\BethINI-Presets\medium","medium","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 3\BethINI-Presets","8","30/04/2022 18:40:10","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 3\BethINI-Presets\poor","poor","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 3\BethINI-Presets","8","30/04/2022 18:40:10","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 3\BethINI-Presets\ultra","ultra","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 3\BethINI-Presets","8","30/04/2022 18:40:10","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 3\Default","Default","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 3","7","30/04/2022 18:40:10","0","1"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 3\Vanilla-Presets","Vanilla-Presets","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 3","7","30/04/2022 18:40:10","4","0"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 3\Vanilla-Presets\high","high","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 3\Vanilla-Presets","8","30/04/2022 18:40:10","0","2"
