"FullName","Kind","SizeBytes","LastWrite"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\Vanilla-Presets\low\Fallout4Prefs.ini","Archivo","1252","2022-02-26 10:42:26"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\Vanilla-Presets\medium","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\Vanilla-Presets\medium\Fallout4.ini","Archivo","514","2022-02-26 10:04:56"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\Vanilla-Presets\medium\Fallout4Prefs.ini","Archivo","1254","2022-02-26 10:42:22"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\Vanilla-Presets\ultra","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\Vanilla-Presets\ultra\Fallout4.ini","Archivo","514","2022-02-26 10:04:50"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\Vanilla-Presets\ultra\Fallout4Prefs.ini","Archivo","1267","2022-02-26 10:42:16"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\BethINI-Presets","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\BethINI-Presets\high","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\BethINI-Presets\high\Fallout.ini","Archivo","367","2022-02-27 00:13:40"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\BethINI-Presets\high\FalloutPrefs.ini","Archivo","1017","2022-02-23 23:52:58"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\BethINI-Presets\low","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\BethINI-Presets\low\Fallout.ini","Archivo","364","2022-02-27 00:13:32"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\BethINI-Presets\low\FalloutPrefs.ini","Archivo","989","2022-02-23 23:47:06"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\BethINI-Presets\medium","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\BethINI-Presets\medium\Fallout.ini","Archivo","367","2022-02-27 00:13:52"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\BethINI-Presets\medium\FalloutPrefs.ini","Archivo","991","2022-02-23 23:50:16"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\BethINI-Presets\poor","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\BethINI-Presets\poor\Fallout.ini","Archivo","359","2022-02-27 00:13:58"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\BethINI-Presets\poor\FalloutPrefs.ini","Archivo","980","2022-02-23 23:44:30"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\BethINI-Presets\ultra","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\BethINI-Presets\ultra\Fallout.ini","Archivo","369","2022-02-27 00:14:04"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\BethINI-Presets\ultra\FalloutPrefs.ini","Archivo","1022","2022-02-27 00:06:56"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\Default","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\Default\Fallout_default.ini","Archivo","3675","2016-06-24 10:53:20"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\Default\FalloutPrefs.ini","Archivo","2593","2016-06-24 10:53:20"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\Fallout.INI","Archivo","29315","2016-07-10 14:31:42"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\FalloutPrefs.INI","Archivo","2594","2019-01-29 21:12:56"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\Vanilla-Presets","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\Vanilla-Presets\high","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\Vanilla-Presets\high\Fallout.ini","Archivo","366","2022-02-27 00:12:48"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\Vanilla-Presets\high\FalloutPrefs.ini","Archivo","1015","2016-06-24 10:59:06"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\Vanilla-Presets\low","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\Vanilla-Presets\low\Fallout.ini","Archivo","366","2022-02-27 00:12:54"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\Vanilla-Presets\low\FalloutPrefs.ini","Archivo","988","2016-06-24 10:59:20"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\Vanilla-Presets\medium","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\Vanilla-Presets\medium\Fallout.ini","Archivo","366","2022-02-27 00:13:00"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\Vanilla-Presets\medium\FalloutPrefs.ini","Archivo","995","2016-06-24 10:59:30"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\Vanilla-Presets\ultra","Directorio","-","2022-04-30 18:39:28"
